NO,NO,TRAIN,NAME,FROM,DEP,TO,ARR
02018,02018,02018,GKP LTT PREMIUM,GORAKHPUR JN,08:25,LOKMANYATILAK T,11:50
02451,02451,02451,CNB JAT PREMIUM ,KANPUR CENTRAL ,20:20,JAMMU TAWI     ,13:40
02452,02452,02452,JAT CNB PREMIUM ,JAMMU TAWI     ,16:50,KANPUR CENTRAL ,09:40
02529,02529,02529,GKP JAT PREMIUM ,GORAKHPUR JN   ,21:05,JAMMU TAWI     ,19:45
02530,02530,02530,JAT GKP PREMIUM ,JAMMU TAWI     ,00:45,GORAKHPUR JN   ,23:10
02696,02696,02696,JP YPR PREMIUM  ,JAIPUR         ,22:15,YESVANTPUR JN  ,17:30
02723,02723,02723,NZM PREMIUM EXP ,SECUNDERABAD JN,11:55,H NIZAMUDDIN   ,13:25
02779,02779,02779,VSG SBC LINK EXP,VASCO DA GAMA  ,15:10,BANGALORE CY JN,07:00
04014,04014,04014,NZM PUNE PREMIUM,H NIZAMUDDIN   ,15:50,PUNE JN        ,13:15
04022,04022,04022,NDLS BJU PREMIUM,NEW DELHI      ,19:30,BARAUNI JN     ,18:00
04823,04823,04823,JU YPR PREMIUM  ,JODHPUR JN     ,14:35,YESVANTPUR JN  ,04:00
06228,06228,06228,MYSORE EXP      ,TALGUPPA       ,20:00,MYSORE JN      ,07:00
06512,06512,06512,JP YPR EXP      ,JAIPUR         ,15:30,YESVANTPUR JN  ,15:10
06948,06948,06948,UBL VSG LINK EXP,HUBLI JN       ,23:00,VASCO DA GAMA  ,06:30
07301,07301,07301,TALGUPPA EXP    ,MYSORE JN      ,22:30,TALGUPPA       ,07:15
09043,09043,09043,JAIPUR AC SUP   ,BANDRA TERMINUS,16:50,JAIPUR         ,10:45
09051,09051,09051,ST CPR PREMIUM  ,SURAT          ,06:00,CHHAPRA        ,10:50
09055,09055,09055,ST PNBE PREMIUM ,SURAT          ,06:00,PATNA JN       ,10:40
09705,09705,09705,JP DEE AC EXP   ,JAIPUR         ,07:55,DELHI S ROHILLA,13:20
09723,09723,09723,JP MDU PREMIUM  ,JAIPUR         ,16:50,MADURAI JN     ,11:05
09725,09725,09725,JP BDTS PREMIUM ,JAIPUR         ,10:25,BANDRA TERMINUS,04:55
09726,09726,09726,BDTS JP PREMIUM ,BANDRA TERMINUS,23:55,JAIPUR         ,19:10
09727,09727,09727,JP KOAA PREMIUM ,JAIPUR         ,21:45,KOLKATA        ,21:10
10001,10001,10001,SATPURA EXPRESS ,BALAGHAT JN    ,12:45,JABALPUR       ,19:35
10002,10002,10002,SATPURA EXPRESS ,JABALPUR       ,05:30,BALAGHAT JN    ,12:10
10103,10103,10103,MANDOVI EXPRESS ,MUMBAI CST     ,07:10,MADGAON        ,18:45
10104,10104,10104,MANDOVI EXPRESS ,MADGAON        ,09:30,MUMBAI CST     ,21:40
10111,10111,10111,KONKAN KANYA EX ,MUMBAI CST     ,23:05,MADGAON        ,10:45
10112,10112,10112,KONKAN KANYA EXP,MADGAON        ,18:00,MUMBAI CST     ,05:50
10215,10215,10215,MADGAON ERS EXP ,MADGAON        ,21:30,ERNAKULAM JN   ,10:55
10216,10216,10216,MADGAON EXPRESS ,ERNAKULAM JN   ,13:55,MADGAON        ,03:15
11003,11003,11003,RAJYA RANI EXP  ,DADAR          ,23:55,SAWANTWADI ROAD,10:55
11004,11004,11004,RAJYA RANI EXP  ,SAWANTWADI ROAD,18:10,DADAR          ,06:45
11005,11005,11005,PUDUCHERRY EXP  ,DADAR          ,21:30,PUDUCHERRY     ,08:05
11006,11006,11006,CHALUKYA  EXP   ,PUDUCHERRY     ,20:30,DADAR          ,05:50
11007,11007,11007,DECCAN EXPRESS  ,MUMBAI CST     ,07:00,PUNE JN        ,11:05
11008,11008,11008,DECCAN EXPRESS  ,PUNE JN        ,15:30,MUMBAI CST     ,19:40
11009,11009,11009,SINHAGAD EXP    ,MUMBAI CST     ,14:30,PUNE JN        ,18:40
11010,11010,11010,SINHAGAD EXP    ,PUNE JN        ,06:05,MUMBAI CST     ,09:53
11011,11011,11011,LTT NANDED EXP  ,LOKMANYATILAK T,12:05,H SAHIB NANDED ,04:40
11012,11012,11012,NED LTT EXPRESS ,H SAHIB NANDED ,06:30,LOKMANYATILAK T,23:45
11013,11013,11013,COIMBATORE EXP  ,LOKMANYATILAK T,22:35,COIMBATORE JN  ,07:00
11014,11014,11014,LOKMANYA TT EXP ,COIMBATORE JN  ,08:45,LOKMANYATILAK T,14:30
11015,11015,11015,KUSHINAGAR EXP  ,LOKMANYATILAK T,22:45,GORAKHPUR JN   ,07:10
11016,11016,11016,KUSHINAGAR EXP  ,GORAKHPUR JN   ,19:00,LOKMANYATILAK T,04:20
11017,11017,11017,LTT KARAIKAL EXP,LOKMANYATILAK T,12:05,KARAIKAL       ,18:45
11018,11018,11018,KIK LTT EXPRESS ,KARAIKAL       ,14:00,LOKMANYATILAK T,23:45
11019,11019,11019,KONARK EXPRESS  ,MUMBAI CST     ,15:10,BHUBANESWAR    ,04:25
11020,11020,11020,KONARK EXPRESS  ,BHUBANESWAR    ,15:20,MUMBAI CST     ,03:55
11021,11021,11021,TIRUNELVELI EXP ,DADAR          ,21:30,TIRUNELVELI    ,11:45
11022,11022,11022,CHALUKYA  EXP   ,TIRUNELVELI    ,14:45,DADAR          ,05:50
11023,11023,11023,SAHYADRI EXPRES ,MUMBAI CST     ,17:50,C SHAHUMHARAJ T,06:05
11024,11024,11024,SAHYADRI EXP    ,C SHAHUMHARAJ T,22:50,MUMBAI CST     ,11:55
11025,11025,11025,BSL PUNE EXP    ,BHUSAVAL JN    ,00:25,PUNE JN        ,12:05
11026,11026,11026,PUNE BSL EXP    ,PUNE JN        ,11:45,BHUSAVAL JN    ,21:50
11027,11027,11027,CHENNAI MAIL    ,MUMBAI CST     ,23:45,CHENNAI CENTRAL,04:15
11028,11028,11028,MUMBAI MAIL     ,CHENNAI CENTRAL,22:50,MUMBAI CST     ,03:45
11029,11029,11029,KOYNA EXPRESS   ,MUMBAI CST     ,08:40,C SHAHUMHARAJ T,20:25
11030,11030,11030,KOYNA EXPRESS   ,C SHAHUMHARAJ T,07:55,MUMBAI CST     ,20:35
11033,11033,11033,DARBHANGA EXP   ,PUNE JN        ,16:15,DARBHANGA JN   ,06:45
11034,11034,11034,DBG PUNE EXP    ,DARBHANGA JN   ,17:00,PUNE JN        ,08:05
11035,11035,11035,SHARAVATHI EXP  ,DADAR          ,21:30,MYSORE JN      ,21:40
11036,11036,11036,SHARAVATI  EXP  ,MYSORE JN      ,06:30,DADAR          ,05:50
11037,11037,11037,PA GORAKHPUR EXP,PUNE JN        ,16:15,GORAKHPUR JN   ,01:20
11038,11038,11038,GKP PUNE EXPRESS,GORAKHPUR JN   ,15:30,PUNE JN        ,04:05
11039,11039,11039,MAHARASHTRA EXP ,C SHAHUMHARAJ T,15:30,GONDIA JN      ,20:15
11040,11040,11040,MAHARASHTRA EXP ,GONDIA JN      ,08:20,C SHAHUMHARAJ T,12:45
11041,11041,11041,CSTM CHENNAI EX ,MUMBAI CST     ,14:00,CHENNAI CENTRAL,16:45
11042,11042,11042,MUMBAI EXPRESS  ,CHENNAI CENTRAL,11:55,MUMBAI CST     ,13:45
11043,11043,11043,MADURAI EXPRESS ,LOKMANYATILAK T,00:15,MADURAI JN     ,12:30
11044,11044,11044,LOKAMANYA TT EXP,MADURAI JN     ,18:00,LOKMANYATILAK T,05:45
11045,11045,11045,DIKSHABHOOMI EXP,C SHAHUMHARAJ T,23:45,DHANBAD JN     ,12:00
11046,11046,11046,DIKSHABHUMI EXP ,DHANBAD JN     ,13:55,C SHAHUMHARAJ T,03:45
11047,11047,11047,MIRAJ UBL EXP   ,MIRAJ JN       ,00:10,HUBLI JN       ,06:25
11048,11048,11048,UBL MRJ EXPRESS ,HUBLI JN       ,23:00,MIRAJ JN       ,05:15
11049,11049,11049,KOLHAPUR EXPRESS,AHMEDABAD JN   ,19:55,C SHAHUMHARAJ T,15:25
11050,11050,11050,AHMEDABAD EXP   ,C SHAHUMHARAJ T,12:50,AHMEDABAD JN   ,07:45
11051,11051,11051,SUR KOP EXP     ,SOLAPUR JN     ,23:35,C SHAHUMHARAJ T,06:20
11052,11052,11052,KOP SOLAPUR EXP ,C SHAHUMHARAJ T,23:55,SOLAPUR JN     ,07:45
11055,11055,11055,GODAN EXPRESS   ,LOKMANYATILAK T,10:55,GORAKHPUR JN   ,20:15
11056,11056,11056,GODAN EXPRESS   ,GORAKHPUR JN   ,06:25,LOKMANYATILAK T,16:05
11057,11057,11057,AMRITSAR EXPRES ,LOKMANYATILAK T,23:45,AMRITSAR JN    ,16:30
11058,11058,11058,ASR LTT EXPRESS ,AMRITSAR JN    ,08:30,LOKMANYATILAK T,03:50
11059,11059,11059,CHHAPRA EXPRESS ,LOKMANYATILAK T,10:55,CHHAPRA        ,20:55
11060,11060,11060,CPR LTT EXPRESS ,CHHAPRA        ,05:30,LOKMANYATILAK T,16:05
11061,11061,11061,MUZAFFARPUR EXP ,LOKMANYATILAK T,12:15,MUZAFFARPUR JN ,22:30
11062,11062,11062,MFP LTT EXPRESS ,MUZAFFARPUR JN ,15:50,LOKMANYATILAK T,03:40
11063,11063,11063,MS SALEM EXP    ,CHENNAI EGMORE ,23:00,SALEM JN       ,06:35
11064,11064,11064,SA CHENNAI EXP  ,SALEM JN       ,21:00,CHENNAI EGMORE ,04:40
11065,11065,11065,DARBHANGA  EXP  ,LOKMANYATILAK T,12:15,DARBHANGA JN   ,01:20
11066,11066,11066,DBG LTT EXPRESS ,DARBHANGA JN   ,13:10,LOKMANYATILAK T,03:40
11067,11067,11067,SAKET EXPRESS   ,LOKMANYATILAK T,05:20,FAIZABAD JN    ,09:25
11068,11068,11068,SAKET EXPRESS   ,FAIZABAD JN    ,15:35,LOKMANYATILAK T,21:40
11069,11069,11069,TULSI EXPRESS   ,LOKMANYATILAK T,05:20,ALLAHABAD JN   ,08:50
11070,11070,11070,TULSI EXPRESS   ,ALLAHABAD JN   ,16:15,LOKMANYATILAK T,21:40
11071,11071,11071,KAMAYANI EXPRESS,LOKMANYATILAK T,12:40,VARANASI JN    ,19:25
11072,11072,11072,KAMAYANI EXPRES ,VARANASI JN    ,15:50,LOKMANYATILAK T,23:05
11077,11077,11077,JHELUM EXPRESS  ,PUNE JN        ,17:20,JAMMU TAWI     ,10:00
11078,11078,11078,JHELUM EXPRESS  ,JAMMU TAWI     ,21:45,PUNE JN        ,14:35
11087,11087,11087,VERAVAL PUNE EXP,VERAVAL        ,07:50,PUNE JN        ,04:45
11088,11088,11088,PUNE VERAVAL EXP,PUNE JN        ,19:50,VERAVAL        ,16:50
11089,11089,11089,BGKTPUNE EXPRESS,BHAGAT KI KOTHI,05:40,PUNE JN        ,04:45
11090,11090,11090,PUNE JODHPUR EXP,PUNE JN        ,19:50,JODHPUR JN     ,17:10
11091,11091,11091,BHUJ PUNE EXP   ,BHUJ           ,08:30,PUNE JN        ,04:45
11092,11092,11092,PUNE BHUJ EXP   ,PUNE JN        ,19:50,BHUJ           ,15:20
11093,11093,11093,MAHANAGARI EXP  ,MUMBAI CST     ,00:10,VARANASI JN    ,04:40
11094,11094,11094,MAHANAGARI EXP  ,VARANASI JN    ,11:20,MUMBAI CST     ,14:15
11095,11095,11095,AHIMSA EXPRESS  ,AHMEDABAD JN   ,16:25,PUNE JN        ,04:45
11096,11096,11096,AHIMSA EXPRESS  ,PUNE JN        ,19:50,AHMEDABAD JN   ,07:45
11097,11097,11097,POORNA EXPRESS  ,PUNE JN        ,23:10,ERNAKULAM JN   ,04:10
11098,11098,11098,POORNA EXPRESS  ,ERNAKULAM JN   ,23:30,PUNE JN        ,05:05
11101,11101,11101,PUNE GWALIOR EXP,PUNE JN        ,00:25,GWALIOR        ,03:10
11102,11102,11102,GWL PUNE EXP    ,GWALIOR        ,15:00,PUNE JN        ,20:00
11103,11103,11103,JHS BDTS EXP    ,JHANSI JN      ,16:50,BANDRA TERMINUS,17:10
11104,11104,11104,BDTS JHANSI EXP ,BANDRA TERMINUS,05:10,JHANSI JN      ,06:25
